source,category,title,description,href,image_url,image_key
china-zh-cn,CDN与边缘计算,CloudPond,将云基础设施部署到机房用于边缘计算,https://www.huaweicloud.com/product/ies.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/ContentDeliveryEdgeComputing/IES.png,ContentDeliveryEdgeComputing/IES.png
china-zh-cn,CDN与边缘计算,全站加速 WSA,提升网络传输的性能、稳定性和访问体验,https://www.huaweicloud.com/product/wsa.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/ContentDeliveryEdgeComputing/WSA.png,ContentDeliveryEdgeComputing/WSA.png
china-zh-cn,CDN与边缘计算,内容分发网络 CDN,就近获得所需内容，改善网络拥挤状况,https://www.huaweicloud.com/product/cdn.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/ContentDeliveryEdgeComputing/CDN.png,ContentDeliveryEdgeComputing/CDN.png
china-zh-cn,CDN与边缘计算,智能边缘云 IEC,部署在距用户更近的位置，提供低时延体验,https://www.huaweicloud.com/product/iec.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/ContentDeliveryEdgeComputing/IEC.png,ContentDeliveryEdgeComputing/IEC.png
china-zh-cn,Uncategorized,DDoS防护 AAD,快速缓解对业务造成瘫痪的网络攻击,https://www.huaweicloud.com/product/aad.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/SecurityCompliance/AAD.png,SecurityCompliance/AAD.png
china-zh-cn,Uncategorized,Flexus云数据库RDS,基于开源MySQL内核的轻量级数据库,https://www.huaweicloud.com/product/flexus-rds.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Compute/FRDS.png,Compute/FRDS.png
china-zh-cn,Uncategorized,Flexus企业搜索服务,基于开源Elasticsearch提供在线分布式搜索,https://www.huaweicloud.com/product/flexus-search-service.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Analytics/FlexusCSS.svg,Analytics/FlexusCSS.svg
china-zh-cn,Uncategorized,Flexus智能数据洞察,支撑业务实时高效决策的BI服务,https://www.huaweicloud.com/product/flexus-intelligent-data-insight.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Compute/FlexusInsight.svg,Compute/FlexusInsight.svg
china-zh-cn,Uncategorized,MapReduce服务 MRS,企业级大数据集群云服务,https://www.huaweicloud.com/product/mrs.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Analytics/MapReduce.png,Analytics/MapReduce.png
china-zh-cn,Uncategorized,Web应用防火墙 WAF,识别恶意请求特征和防御未知威胁,https://www.huaweicloud.com/product/waf.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/SecurityCompliance/WAF.png,SecurityCompliance/WAF.png
china-zh-cn,Uncategorized,云堡垒机 CBH,主机管理、权限控制、运维审计,https://www.huaweicloud.com/product/cbh.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/SecurityCompliance/CBH.png,SecurityCompliance/CBH.png
china-zh-cn,Uncategorized,云搜索服务 CSS,提供多条件检索与分析能力,https://www.huaweicloud.com/product/es.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Analytics/CSS.png,Analytics/CSS.png
china-zh-cn,Uncategorized,云数据库 GaussDB,新一代企业级分布式关系型数据库产品,https://www.huaweicloud.com/product/gaussdb.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Databases/GaussDB.png,Databases/GaussDB.png
china-zh-cn,Uncategorized,云数据库 GeminiDB,云原生多模数据库，兼容主流NoSQL协议,https://www.huaweicloud.com/product/geminidb.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Databases/GaussDBfornosql.png,Databases/GaussDBfornosql.png
china-zh-cn,Uncategorized,云数据库 RDS for MariaDB,开源数据库、即开即用、稳定可靠,https://www.huaweicloud.com/product/mariadb.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Databases/RDSforMariaDB.png,Databases/RDSforMariaDB.png
china-zh-cn,Uncategorized,云数据库 RDS for MySQL,稳定可靠、安全运行、弹性伸缩,https://www.huaweicloud.com/product/mysql.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Databases/RDSforMySQL.png,Databases/RDSforMySQL.png
china-zh-cn,Uncategorized,云数据库 RDS for PostgreSQL,开源数据库，保证数据的可靠性和完整性,https://www.huaweicloud.com/product/pg.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Databases/RDSforPostgreSQL.png,Databases/RDSforPostgreSQL.png
china-zh-cn,Uncategorized,云数据库 RDS for SQLServer,世界上广受欢迎的商用关系型数据库之一,https://www.huaweicloud.com/product/mssql.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Databases/RDSforSQLServer.png,Databases/RDSforSQLServer.png
china-zh-cn,Uncategorized,云数据库 TaurusDB,新一代完全兼容MySQL的企业级数据库,https://www.huaweicloud.com/product/taurusdb.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Databases/GaussDBforMySQL.png,Databases/GaussDBforMySQL.png
china-zh-cn,Uncategorized,云证书与管理服务 CCM,SSL证书和私有证书管理,https://www.huaweicloud.com/product/ccm.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/SecurityCompliance/SSL.png,SecurityCompliance/SSL.png
