category,code,title,description,href,image_key,path
AI,cbs,cbs,,,AI/cbs.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\AI\cbs.png
AI,Moderation,Content Moderation,"Detect inappropriate content in images, text, and videos",https://www.huaweicloud.com/intl/en-us/product/moderation.html,AI/Moderation.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\AI\Moderation.png
AI,eihealth,EIHealth,"Use AI to facilitate genomics, drug discovery, and medical imaging",https://www.huaweicloud.com/intl/en-us/product/eihealth.html,AI/eihealth.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\AI\eihealth.png
AI,FRS,FRS,,,AI/FRS.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\AI\FRS.png
AI,ges,Graph Engine Service (GES),Query and analyze graph-structure data based on relationships,https://www.huaweicloud.com/intl/en-us/product/ges.html,AI/ges.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\AI\ges.png
AI,hilens,Huawei HiLens (HiLens),Use this platform for multimodal AI development,https://www.huaweicloud.com/intl/en-us/product/hilens.html,AI/hilens.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\AI\hilens.png
AI,Image,Image Recognition,Identify visual content in images,https://www.huaweicloud.com/intl/en-us/product/image.html,AI/Image.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\AI\Image.png
AI,VIAS,Intelligent Video Analysis Service,"VIAS is a comprehensive solution for AI-driven video analytics, event detection",https://www.huaweicloud.com/intl/en-us/product/vias.html,AI/VIAS.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\AI\VIAS.png
AI,ivs,ivs,,,AI/ivs.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\AI\ivs.png
AI,MaaS,MaaS,"Ultimate Performance, Intuitive Tokens Service",https://www.huaweicloud.com/intl/en-us/product/maas.html,AI/MaaS.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\AI\MaaS.png
AI,ModelArts,ModelArts,"Build, train, and deploy machine learning models quickly and easily",https://www.huaweicloud.com/intl/en-us/product/modelarts.html,AI/ModelArts.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\AI\ModelArts.png
AI,Octopus,Octopus,,,AI/Octopus.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\AI\Octopus.png
AI,OCR,Optical Character Recognition (OCR),Detect and extract text from any image and convert the text into JSON format,https://www.huaweicloud.com/intl/en-us/product/ocr.html,AI/OCR.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\AI\OCR.png
AI,OptVerse,OptVerse,,,AI/OptVerse.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\AI\OptVerse.png
AI,pangu,PanguLargeModels,Reshape your industry with large AI models,https://www.huaweicloud.com/intl/en-us/product/pangu.html,AI/pangu.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\AI\pangu.png
AI,cbsqa,Question Answering Bot (QABot),Build and manage intelligent Q&A bots,https://www.huaweicloud.com/intl/en-us/product/cbsqa.html,AI/cbsqa.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\AI\cbsqa.png
AI,asr,Short Sentence Recognition,Convert short audio files (up to a minute long) into text,https://www.huaweicloud.com/intl/en-us/product/asr.html,AI/asr.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\AI\asr.png
AI,sis,sis,,,AI/sis.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\AI\sis.png
Analytics,CSS,Cloud Search Service (CSS),Query accurately by multiple conditions,https://www.huaweicloud.com/intl/en-us/product/css.html,Analytics/CSS.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Analytics\CSS.png
Analytics,CS,Cloud Stream Service (CS),Process streaming data in real time,https://www.huaweicloud.com/intl/en-us/product/cs.html,Analytics/CS.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Analytics\CS.png
Analytics,CloudTable,CloudTable,,,Analytics/CloudTable.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Analytics\CloudTable.png
Analytics,DIS,Data Ingestion Service (DIS),"Ingest, process, and dump data in real time",https://www.huaweicloud.com/intl/en-us/product/dis.html,Analytics/DIS.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Analytics\DIS.png
Analytics,DLI,Data Lake Insight (DLI),Analyze and process streaming and batch data,https://www.huaweicloud.com/intl/en-us/product/dli.html,Analytics/DLI.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Analytics\DLI.png
Analytics,DLV,Data Lake Visualization (DLV),Create dashboards to track and display complex data in real time,https://www.huaweicloud.com/intl/en-us/product/dlv.html,Analytics/DLV.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Analytics\DLV.png
Analytics,DWS,Data Warehouse Service (DWS),"Give your warehouse market-leading performance, superlative stability, and on-demand scaling",https://www.huaweicloud.com/intl/en-us/product/dws.html,Analytics/DWS.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Analytics\DWS.png
Analytics,DataArtsFabric,DataArts Fabric,"A comprehensive, one-stop platform for data and AI development",https://www.huaweicloud.com/intl/en-us/product/dataartsfabric.html,Analytics/DataArtsFabric.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Analytics\DataArtsFabric.png
Analytics,DataArts,DataArts Studio,Manage your data development and governance in one place,https://www.huaweicloud.com/intl/en-us/product/dayu.html,Analytics/DataArts.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Analytics\DataArts.png
Analytics,DataArts-Insight,DataArts-Insight,,,Analytics/DataArts-Insight.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Analytics\DataArts-Insight.png
Analytics,FlexusCSS,FlexusCSS,,,Analytics/FlexusCSS.svg,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Analytics\FlexusCSS.svg
Analytics,LakeFormation,LakeFormation,,,Analytics/LakeFormation.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Analytics\LakeFormation.png
Analytics,Log,Log,,,Analytics/Log.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Analytics\Log.png
Analytics,MapReduce,MapReduce Service (MRS),Run open source analytics workloads on high-availability big data clusters,https://www.huaweicloud.com/intl/en-us/product/mrs.html,Analytics/MapReduce.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Analytics\MapReduce.png
Analytics,TICS,TICS,,,Analytics/TICS.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Analytics\TICS.png
aPaaS,AppStage,AppStage,,,aPaaS/AppStage.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\aPaaS\AppStage.png
aPaaS,EDS,EDS,,,aPaaS/EDS.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\aPaaS\EDS.png
aPaaS,KooDrive,KooDrive,A digital content center for streamlined collaboration,https://www.huaweicloud.com/intl/en-us/product/koodrive.html,aPaaS/KooDrive.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\aPaaS\KooDrive.png
aPaaS,KooMap,KooMap,,,aPaaS/KooMap.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\aPaaS\KooMap.png
aPaaS,KooMessage,KooMessage,One-stop Rich Media Messaging,https://www.huaweicloud.com/intl/en-us/product/koomessage.html,aPaaS/KooMessage.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\aPaaS\KooMessage.png
aPaaS,KooPhone,KooPhone,,,aPaaS/KooPhone.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\aPaaS\KooPhone.png
aPaaS,MSSE,MSSE,,,aPaaS/MSSE.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\aPaaS\MSSE.png
aPaaS,MSSI,MSSI,,,aPaaS/MSSI.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\aPaaS\MSSI.png
aPaaS,OrgID,OrgID,,,aPaaS/OrgID.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\aPaaS\OrgID.png
